Name,Username,Password,Admin?
John Smith,jsmith,fluffy,N
Mary Smith,msmith,abby,N
Michelle Rojas,mr11j,password,Y
Myles Anderson,,,Y
test,test,test123,N
admin,admin,admin123,Y
Liz Lemon,llbean,blergh,N
George Washinton,firstprez,delaware,N
Bill Gates,bmicro,melinda,N
Steve Jobs,sapple,blackturtleneck,N
Sarah Blakely,fsusarah,spanx,N
Karlie Kloss,model,fashion,N
Leonardo Dicaprio,leodicap,nooscar,N
Walter White,heisenberg,bluesky,N
Michael Townley,desanta,gta5,N
Aubrey Graham,drake,nothingwasthesame,N
Childish Gambino,donglover,thedeepweb,N
Iggy Azalea,iggy,work,N
Supreme Being,god,omnicient,Y
